itemId,itemName,itemType,itemDescription,StatValue,roomID
A_1,Apple,consumable,A fresh red apple sits on a dusty table It looks safe to eat probably,10,R_7
A_2,Milk,consumable,A glass of milk is on the counter The smell makes you gag,-20,R_10
A_3,Spirit Potion,consumable,A vial shines bright blue on the floor You feel safe near it,25,R_18
A_4,Curse Potion,consumable,A vial with smoky liquid inside Removes one curse,1,R_14
A_5,Attack Potion,consumable,A vial that glows yellow and makes you feel powerful,15,R_10
A_6,Broken Dagger,weapon,A chipped and rusted dagger It is weak but better than nothing,5,R_1
A_7,Golf Club,weapon,A heavy iron golf club It could do some damage,8,R_8
A_8,Rusted Axe,weapon,A rusty axe with a sharp blade,12,R_11
A_9,Grenade,weapon,A WWII style grenade with strong attack power,25,R_23
A_10,Sword,weapon,A sharp steel sword A true warrior weapon,15,R_13
A_11,Leather Armor,equipment,Flexible leather body armor that offers light protection,20,R_18
A_12,Plate Armor,equipment,A heavy suit of armor that makes you feel protected,50,R_20
A_13,Leather Helmet,equipment,A worn leather helmet with signs of battle,10,R_7
A_14,Plate Helmet,equipment,A sturdy helmet in excellent condition,40,R_20
A_15,Silver Cog,utility,A small gear with precise cuts Repairs the music box,0,R_21
A_16,Bitter Herb,utility,A bundle of herbs used for Soul Soup,0,R_9
A_17,Master Room Key,utility,A large brass key covered in rust Unlocks the Master Bedroom,0,R_17
A_18,Ghost Key,utility,A dark key covered in webs A tag on it reads Attic,0,R_14
A_19,Closet Key,utility,A small basic key that says Closet,0,R_18
A_20,Health Stone,utility,A smooth ancient stone with a faint heartbeat-like glow Use to escape the mansion,0,R_14
A_21,Final Key,utility,A majestic key covered with jewels Unlocks the Master Safe Room,0,R_22
